,Unnamed: 0,X1,age,gender,height,weight,steps,hear_rate,calories,distance,entropy_heart,entropy_setps,resting_heart,corr_heart_steps,norm_heart,intensity_karvonen,sd_norm_heart,steps_times_distance
Unnamed: 0,1.0,0.44903700619781023,0.12653885247410587,-0.22526272188525637,-0.20434316325362148,-0.2063488356795424,-0.25266816813041243,-0.06721118131792224,0.4470545015373965,0.3357363805223568,-0.15958237495557737,-0.32678968718438556,-0.1607535582619607,0.37941493601971626,0.052239068005499475,-0.00993923290395627,0.09545400205218944,0.14958947276638535
X1,0.44903700619781023,1.0,0.29960815917361583,-0.46504707951092294,-0.36940334439479655,-0.2622436391003109,0.13859360134420295,0.18116395387896975,-0.15627538097595564,0.055877937171538945,-0.06730649435720086,-0.1384976186882101,-0.1308867763158713,-0.06026910641761124,0.2805839393200849,0.30890254850813725,0.29805314158815416,0.014121963602856207
age,0.12653885247410587,0.29960815917361583,1.0,-0.23603194435165403,-0.5187981841988083,-0.15231721532287262,0.006393606172040843,-0.0076650078918301225,-0.06466092279062563,-0.06116863639172821,-0.002541257961152243,-0.0015276758176489163,-0.0228325759072567,0.0681081502354913,0.00931831516797202,0.07129715791538753,0.058017674549138705,-0.04581583960764751
gender,-0.22526272188525637,-0.46504707951092294,-0.23603194435165403,1.0,0.735851669107872,0.5804458092326044,-0.06971906897410213,-0.09347639636911981,0.07187530428904979,-0.05177906188678022,-0.051111177957378025,0.014607722802755537,-0.08223457076512111,-0.03996789523726821,-0.032912602141309706,-0.06439177907623393,-0.05779262083669617,0.022256726737028398
height,-0.20434316325362148,-0.36940334439479655,-0.5187981841988083,0.735851669107872,1.0,0.6935041493875218,0.025728860508140352,-0.12351942255503494,0.03444676410616065,-0.0914216326788701,-0.06949082407448767,0.04910011589700982,-0.02832983535139815,-0.03129249715736019,-0.10349239177268829,-0.12456167008512174,-0.09054242422860201,-0.07575527209660794
weight,-0.2063488356795424,-0.2622436391003109,-0.15231721532287262,0.5804458092326044,0.6935041493875218,1.0,0.04538943438488919,-0.06431652621802803,-0.02361196172114377,-0.07229443382909684,-0.15660096442148402,-0.05290596730690009,-0.014345160702499747,-0.06475016370648336,-0.05419182925541743,-0.06494351072929253,-0.009805546224457501,-0.008665551141649401
steps,-0.25266816813041243,0.13859360134420295,0.006393606172040843,-0.06971906897410213,0.025728860508140352,0.04538943438488919,1.0,0.1640840775311753,-0.25097258614866014,-0.09043275717283378,0.021578820401775233,0.08640004721105603,0.08396421241173128,-0.22916252310892526,0.10287576705274477,0.14421127120705185,0.11248585089347624,0.023797870548475195
hear_rate,-0.06721118131792224,0.18116395387896975,-0.0076650078918301225,-0.09347639636911981,-0.12351942255503494,-0.06431652621802803,0.1640840775311753,1.0,-0.1419716130024869,-0.06887949937638364,0.06042710655301525,0.036692744088835424,0.38227542121141944,-0.17413556657981885,0.7236476306269942,0.7804780236719672,0.28031263332321843,0.06475929261290754
calories,0.4470545015373965,-0.15627538097595564,-0.06466092279062563,0.07187530428904979,0.03444676410616065,-0.02361196172114377,-0.25097258614866014,-0.1419716130024869,1.0,0.25514523849011955,0.0010687042436476914,-0.10567835042260594,-0.05570308294992973,0.20805541454732218,-0.10166874166142538,-0.16499945869867236,-0.14817780850258275,0.11990840349558034
distance,0.3357363805223568,0.055877937171538945,-0.06116863639172821,-0.05177906188678022,-0.0914216326788701,-0.07229443382909684,-0.09043275717283378,-0.06887949937638364,0.25514523849011955,1.0,-0.056429134641268565,-0.2967443439731925,-0.32079085313298655,0.08135377043710164,0.1700869373490415,0.06610273636326985,0.2965818044413759,0.6539948189738002
entropy_heart,-0.15958237495557737,-0.06730649435720086,-0.002541257961152243,-0.051111177957378025,-0.06949082407448767,-0.15660096442148402,0.021578820401775233,0.06042710655301525,0.0010687042436476914,-0.056429134641268565,1.0,0.689704488327336,0.09710516817884177,-0.0654932405912296,-0.01154650650650723,0.045305592997346766,-0.2663075549713377,-0.07079681081169653
entropy_setps,-0.32678968718438556,-0.1384976186882101,-0.0015276758176489163,0.014607722802755537,0.04910011589700982,-0.05290596730690009,0.08640004721105603,0.036692744088835424,-0.10567835042260594,-0.2967443439731925,0.689704488327336,1.0,0.35187643786357103,-0.07437261500965103,-0.2257865398113165,-0.12232657045533858,-0.42543568916860036,-0.26645554692079726
resting_heart,-0.1607535582619607,-0.1308867763158713,-0.0228325759072567,-0.08223457076512111,-0.02832983535139815,-0.014345160702499747,0.08396421241173128,0.38227542121141944,-0.05570308294992973,-0.32079085313298655,0.09710516817884177,0.35187643786357103,1.0,-0.028940962632200227,-0.36111745304415965,-0.2182317703887895,-0.3011300382247519,-0.2362549172615433
corr_heart_steps,0.37941493601971626,-0.06026910641761124,0.0681081502354913,-0.03996789523726821,-0.03129249715736019,-0.06475016370648336,-0.22916252310892526,-0.17413556657981885,0.20805541454732218,0.08135377043710164,-0.0654932405912296,-0.07437261500965103,-0.028940962632200227,1.0,-0.15411614785694122,-0.18805033727005602,-0.011375811973968784,-0.012401911384706057
norm_heart,0.052239068005499475,0.2805839393200849,0.00931831516797202,-0.032912602141309706,-0.10349239177268829,-0.05419182925541743,0.10287576705274477,0.7236476306269942,-0.10166874166142538,0.1700869373490415,-0.01154650650650723,-0.2257865398113165,-0.36111745304415965,-0.15411614785694122,1.0,0.9506304447238676,0.5077959349036689,0.2418112698652851
intensity_karvonen,-0.00993923290395627,0.30890254850813725,0.07129715791538753,-0.06439177907623393,-0.12456167008512174,-0.06494351072929253,0.14421127120705185,0.7804780236719672,-0.16499945869867236,0.06610273636326985,0.045305592997346766,-0.12232657045533858,-0.2182317703887895,-0.18805033727005602,0.9506304447238676,1.0,0.4606104733066275,0.14421319207880834
sd_norm_heart,0.09545400205218944,0.29805314158815416,0.058017674549138705,-0.05779262083669617,-0.09054242422860201,-0.009805546224457501,0.11248585089347624,0.28031263332321843,-0.14817780850258275,0.2965818044413759,-0.2663075549713377,-0.42543568916860036,-0.3011300382247519,-0.011375811973968784,0.5077959349036689,0.4606104733066275,1.0,0.24704940286011762
steps_times_distance,0.14958947276638535,0.014121963602856207,-0.04581583960764751,0.022256726737028398,-0.07575527209660794,-0.008665551141649401,0.023797870548475195,0.06475929261290754,0.11990840349558034,0.6539948189738002,-0.07079681081169653,-0.26645554692079726,-0.2362549172615433,-0.012401911384706057,0.2418112698652851,0.14421319207880834,0.24704940286011762,1.0
